"community","year","no2"
"GARFIELD RIDGE",2017,15.2169771194458
"GARFIELD RIDGE",2018,14.8072357177734
"GARFIELD RIDGE",2019,13.140851020813
"GARFIELD RIDGE",2020,14.7585067749023
"GARFIELD RIDGE",2021,13.2218980789185
"GARFIELD RIDGE",2022,12.8655853271484
"GRAND BOULEVARD",2011,22.7090702056885
"GRAND BOULEVARD",2012,20.7162342071533
"GRAND BOULEVARD",2013,18.9207763671875
"GRAND BOULEVARD",2014,17.8867607116699
"GRAND BOULEVARD",2015,17.1466979980469
"GRAND BOULEVARD",2016,16.427770614624
"GRAND BOULEVARD",2017,16.4413986206055
"GRAND BOULEVARD",2018,16.1576747894287
"GRAND BOULEVARD",2019,13.7464618682861
"GRAND BOULEVARD",2020,15.615119934082
"GRAND BOULEVARD",2021,13.7829475402832
"GRAND BOULEVARD",2022,12.7958688735962
"GREATER GRAND CROSSING",2011,21.1015853881836
"GREATER GRAND CROSSING",2012,19.2498149871826
"GREATER GRAND CROSSING",2013,17.5814514160156
"GREATER GRAND CROSSING",2014,16.6206302642822
"GREATER GRAND CROSSING",2015,15.9329509735107
"GREATER GRAND CROSSING",2016,15.2649145126343
"GREATER GRAND CROSSING",2017,15.2775783538818
"GREATER GRAND CROSSING",2018,15.0139379501343
"GREATER GRAND CROSSING",2019,13.2288360595703
"GREATER GRAND CROSSING",2020,14.5097875595093
"GREATER GRAND CROSSING",2021,13.0585632324219
"GREATER GRAND CROSSING",2022,12.3674907684326
"HEGEWISCH",2011,17.211669921875
"HEGEWISCH",2012,16.513484954834
"HEGEWISCH",2013,15.3685312271118
"HEGEWISCH",2014,14.4875936508179
"HEGEWISCH",2015,13.648886680603
"HEGEWISCH",2016,13.2641296386719
"HEGEWISCH",2017,13.4521913528442
"HEGEWISCH",2018,12.7678518295288
"HEGEWISCH",2019,9.8367748260498
"HEGEWISCH",2020,12.7344207763672
"HEGEWISCH",2021,9.9409704208374
"HEGEWISCH",2022,9.53353881835938
"HERMOSA",2011,22.1921463012695
"HERMOSA",2012,20.4784259796143
"HERMOSA",2013,18.1792888641357
"HERMOSA",2014,17.323070526123
"HERMOSA",2015,16.0872974395752
"HERMOSA",2016,15.9697542190552
"HERMOSA",2017,15.6504192352295
"HERMOSA",2018,16.1234092712402
"HERMOSA",2019,12.8938989639282
"HERMOSA",2020,15.1216382980347
"HERMOSA",2021,12.4836721420288
"HERMOSA",2022,12.8170375823975
"HUMBOLDT PARK",2011,22.8929481506348
"HUMBOLDT PARK",2012,21.1251106262207
"HUMBOLDT PARK",2013,18.7533702850342
"HUMBOLDT PARK",2014,17.8701133728027
"HUMBOLDT PARK",2015,16.5953140258789
"HUMBOLDT PARK",2016,16.4740600585938
"HUMBOLDT PARK",2017,16.1446399688721
"HUMBOLDT PARK",2018,16.6325664520264
"HUMBOLDT PARK",2019,13.8132944107056
"HUMBOLDT PARK",2020,15.5991621017456
"HUMBOLDT PARK",2021,13.466028213501
"HUMBOLDT PARK",2022,13.5918846130371
"HYDE PARK",2011,19.3709316253662
"HYDE PARK",2012,17.6710357666016
"HYDE PARK",2013,16.1395034790039
"HYDE PARK",2014,15.2574834823608
"HYDE PARK",2015,14.6262054443359
"HYDE PARK",2016,14.012957572937
"HYDE PARK",2017,14.024582862854
"HYDE PARK",2018,13.7825651168823
"HYDE PARK",2019,12.3804025650024
"HYDE PARK",2020,13.3197631835938
"HYDE PARK",2021,12.4272375106812
"HYDE PARK",2022,11.572678565979
"IRVING PARK",2011,25.0137767791748
"IRVING PARK",2012,23.3383731842041
"IRVING PARK",2013,21.3875389099121
"IRVING PARK",2014,20.6765632629395
"IRVING PARK",2015,19.8973789215088
"IRVING PARK",2016,19.670223236084
"IRVING PARK",2017,19.3745269775391
"IRVING PARK",2018,19.8705615997314
"IRVING PARK",2019,13.3619022369385
"IRVING PARK",2020,17.7164993286133
"IRVING PARK",2021,13.2487144470215
"IRVING PARK",2022,13.3319826126099
"JEFFERSON PARK",2011,21.3397769927979
"JEFFERSON PARK",2012,20.3703765869141
"JEFFERSON PARK",2013,19.17014503479
"JEFFERSON PARK",2014,18.6159687042236
"JEFFERSON PARK",2015,17.5289440155029
"JEFFERSON PARK",2016,16.9893417358398
"JEFFERSON PARK",2017,16.3517074584961
"JEFFERSON PARK",2018,17.2219829559326
"JEFFERSON PARK",2019,12.7050352096558
"JEFFERSON PARK",2020,15.8063564300537
"JEFFERSON PARK",2021,12.1995887756348
"JEFFERSON PARK",2022,12.2838659286499
"KENWOOD",2011,19.0137920379639
"KENWOOD",2012,17.345235824585
"KENWOOD",2013,15.8419399261475
"KENWOOD",2014,14.9761810302734
"KENWOOD",2015,14.356541633606
"KENWOOD",2016,13.7546014785767
"KENWOOD",2017,13.7660121917725
"KENWOOD",2018,13.5284566879272
"KENWOOD",2019,12.5138654708862
"KENWOOD",2020,13.0741872787476
"KENWOOD",2021,12.5752191543579
"KENWOOD",2022,11.6517724990845
"LAKE VIEW",2011,22.1748600006104
"LAKE VIEW",2012,20.456750869751
"LAKE VIEW",2013,18.4484272003174
"LAKE VIEW",2014,17.6714172363281
"LAKE VIEW",2015,16.6846675872803
"LAKE VIEW",2016,16.4553184509277
"LAKE VIEW",2017,16.2234058380127
"LAKE VIEW",2018,16.65700340271
"LAKE VIEW",2019,13.6813640594482
"LAKE VIEW",2020,15.3593578338623
"LAKE VIEW",2021,13.8484678268433
"LAKE VIEW",2022,13.3061847686768
"LINCOLN PARK",2011,22.0517330169678
"LINCOLN PARK",2012,20.1997604370117
"LINCOLN PARK",2013,18.0675563812256
"LINCOLN PARK",2014,17.2003726959229
"LINCOLN PARK",2015,16.0935935974121
"LINCOLN PARK",2016,15.8485555648804
"LINCOLN PARK",2017,15.637300491333
"LINCOLN PARK",2018,16.1085624694824
"LINCOLN PARK",2019,13.8675775527954
"LINCOLN PARK",2020,15.0947151184082
"LINCOLN PARK",2021,13.952639579773
"LINCOLN PARK",2022,13.4997100830078
"LINCOLN SQUARE",2011,21.6905879974365
"LINCOLN SQUARE",2012,20.3206100463867
"LINCOLN SQUARE",2013,18.8360919952393
"LINCOLN SQUARE",2014,18.301736831665
"LINCOLN SQUARE",2015,17.8245067596436
"LINCOLN SQUARE",2016,17.5969200134277
"LINCOLN SQUARE",2017,17.3612804412842
"LINCOLN SQUARE",2018,17.7794189453125
"LINCOLN SQUARE",2019,13.0459365844727
"LINCOLN SQUARE",2020,15.5801382064819
"LINCOLN SQUARE",2021,13.159309387207
"LINCOLN SQUARE",2022,12.6830444335938
"LOGAN SQUARE",2011,24.7683143615723
"LOGAN SQUARE",2012,22.8556575775146
"LOGAN SQUARE",2013,20.2896251678467
"LOGAN SQUARE",2014,19.3340129852295
"LOGAN SQUARE",2015,17.9547863006592
"LOGAN SQUARE",2016,17.8235988616943
"LOGAN SQUARE",2017,17.4671936035156
"LOGAN SQUARE",2018,17.9950885772705
"LOGAN SQUARE",2019,14.1581249237061
"LOGAN SQUARE",2020,16.8770294189453
"LOGAN SQUARE",2021,14.0465335845947
"LOGAN SQUARE",2022,14.1351280212402
"LOOP",2011,29.2797985076904
"LOOP",2012,26.6340484619141
"LOOP",2013,23.9938220977783
"LOOP",2014,22.8218727111816
"LOOP",2015,21.504093170166
"LOOP",2016,21.0181140899658
"LOOP",2017,20.870454788208
"LOOP",2018,21.4977703094482
"LOOP",2019,17.7442512512207
"LOOP",2020,20.1285400390625
"LOOP",2021,17.7453708648682
"LOOP",2022,17.2141742706299
"LOWER WEST SIDE",2011,24.4761390686035
"LOWER WEST SIDE",2012,22.7923393249512
"LOWER WEST SIDE",2013,20.7004852294922
"LOWER WEST SIDE",2014,19.6340255737305
"LOWER WEST SIDE",2015,18.3595447540283
"LOWER WEST SIDE",2016,17.8952102661133
"LOWER WEST SIDE",2017,17.6589527130127
"LOWER WEST SIDE",2018,17.8486461639404
"LOWER WEST SIDE",2019,14.5681686401367
"LOWER WEST SIDE",2020,17.3834533691406
"LOWER WEST SIDE",2021,14.6410999298096
"LOWER WEST SIDE",2022,14.2965278625488
"MCKINLEY PARK",2011,23.8854446411133
"MCKINLEY PARK",2012,22.6923847198486
"MCKINLEY PARK",2013,21.151762008667
"MCKINLEY PARK",2014,19.949161529541
"MCKINLEY PARK",2015,18.7117443084717
"MCKINLEY PARK",2016,17.8969192504883
"MCKINLEY PARK",2017,17.7308540344238
"MCKINLEY PARK",2018,17.4385929107666
"MCKINLEY PARK",2019,14.2654733657837
"MCKINLEY PARK",2020,17.9375534057617
"MCKINLEY PARK",2021,14.4997148513794
"MCKINLEY PARK",2022,13.8185024261475
"MONTCLARE",2011,21.2861614227295
"MONTCLARE",2012,20.3010025024414
"MONTCLARE",2013,18.524585723877
"MONTCLARE",2014,17.4092140197754
"MONTCLARE",2015,16.2549571990967
"MONTCLARE",2016,16.3656349182129
"MONTCLARE",2017,16.1985836029053
"MONTCLARE",2018,16.2693557739258
"MONTCLARE",2019,12.2030439376831
"MONTCLARE",2020,15.8567008972168
"MONTCLARE",2021,11.7428169250488
"MONTCLARE",2022,11.8168601989746
"MORGAN PARK",2011,19.1401271820068
"MORGAN PARK",2012,19.2554893493652
"MORGAN PARK",2013,18.2117385864258
"MORGAN PARK",2014,17.0987796783447
"MORGAN PARK",2015,16.0586414337158
"MORGAN PARK",2016,15.6181735992432
"MORGAN PARK",2017,15.3802909851074
"MORGAN PARK",2018,14.45969581604
"MORGAN PARK",2019,10.7660226821899
"MORGAN PARK",2020,14.8353929519653
"MORGAN PARK",2021,11.142970085144
"MORGAN PARK",2022,10.6679887771606
"MOUNT GREENWOOD",2011,18.2129249572754
"MOUNT GREENWOOD",2012,18.3415451049805
"MOUNT GREENWOOD",2013,17.3253135681152
"MOUNT GREENWOOD",2014,16.2834300994873
"MOUNT GREENWOOD",2015,15.2593126296997
"MOUNT GREENWOOD",2016,14.8728609085083
"MOUNT GREENWOOD",2017,14.6166458129883
"MOUNT GREENWOOD",2018,13.7482299804688
"MOUNT GREENWOOD",2019,10.6229019165039
"MOUNT GREENWOOD",2020,14.0155277252197
"MOUNT GREENWOOD",2021,10.8788652420044
"MOUNT GREENWOOD",2022,10.5090246200562
"NEAR NORTH SIDE",2011,26.9311237335205
"NEAR NORTH SIDE",2012,24.5299015045166
"NEAR NORTH SIDE",2013,22.0684490203857
"NEAR NORTH SIDE",2014,20.9940547943115
"NEAR NORTH SIDE",2015,19.755729675293
"NEAR NORTH SIDE",2016,19.3365154266357
"NEAR NORTH SIDE",2017,19.1777248382568
"NEAR NORTH SIDE",2018,19.7544460296631
"NEAR NORTH SIDE",2019,15.7531452178955
"NEAR NORTH SIDE",2020,18.4990386962891
"NEAR NORTH SIDE",2021,15.7846794128418
"NEAR NORTH SIDE",2022,15.2633380889893
"NEAR SOUTH SIDE",2011,23.1692409515381
"NEAR SOUTH SIDE",2012,21.0860233306885
"NEAR SOUTH SIDE",2013,19.0410404205322
"NEAR SOUTH SIDE",2014,18.091739654541
"NEAR SOUTH SIDE",2015,17.098424911499
"NEAR SOUTH SIDE",2016,16.6538906097412
"NEAR SOUTH SIDE",2017,16.5595207214355
"NEAR SOUTH SIDE",2018,16.9208450317383
"NEAR SOUTH SIDE",2019,16.0670967102051
"NEAR SOUTH SIDE",2020,15.9284496307373
"NEAR SOUTH SIDE",2021,15.939944267273
"NEAR SOUTH SIDE",2022,15.454930305481
"NEAR WEST SIDE",2011,25.6528472900391
"NEAR WEST SIDE",2012,23.5735111236572
"NEAR WEST SIDE",2013,21.0163879394531
"NEAR WEST SIDE",2014,20.0158386230469
"NEAR WEST SIDE",2015,18.6673069000244
"NEAR WEST SIDE",2016,18.4468212127686
"NEAR WEST SIDE",2017,18.1476669311523
"NEAR WEST SIDE",2018,18.6952514648438
"NEAR WEST SIDE",2019,15.678147315979
"NEAR WEST SIDE",2020,17.525110244751
"NEAR WEST SIDE",2021,15.6064872741699
"NEAR WEST SIDE",2022,15.3822431564331
"NEW CITY",2011,21.5871753692627
"NEW CITY",2012,20.2390956878662
"NEW CITY",2013,18.7427768707275
"NEW CITY",2014,17.6902599334717
"NEW CITY",2015,16.7090587615967
"NEW CITY",2016,15.9901647567749
"NEW CITY",2017,15.8939819335938
"NEW CITY",2018,15.6279993057251
"NEW CITY",2019,13.0299444198608
"NEW CITY",2020,15.7593488693237
"NEW CITY",2021,13.2394037246704
"NEW CITY",2022,12.4663305282593
"NORTH CENTER",2011,23.7166290283203
"NORTH CENTER",2012,22.0328578948975
"NORTH CENTER",2013,19.9450244903564
"NORTH CENTER",2014,19.1764526367188
"NORTH CENTER",2015,18.2095165252686
"NORTH CENTER",2016,18.0293369293213
"NORTH CENTER",2017,17.7250919342041
"NORTH CENTER",2018,18.209192276001
"NORTH CENTER",2019,13.5465211868286
"NORTH CENTER",2020,16.5478649139404
"NORTH CENTER",2021,13.9038314819336
"NORTH CENTER",2022,13.3121213912964
"NORTH LAWNDALE",2011,23.074821472168
"NORTH LAWNDALE",2012,21.317985534668
"NORTH LAWNDALE",2013,18.9633102416992
"NORTH LAWNDALE",2014,18.0622310638428
